Idade,Renda anual,Tipo residência,Tempo no emprego,Intenção de empréstimo,Valor do empréstimo,Taxa de juros,Histórico não pagamentos,Tempo histórico de crédito,Status do empréstimo
22,191923.2,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,57120.0,14.27,N,3,1
24,434245.28,HIPOTECA,2.0,MÉDICO,57120.0,7.49,N,3,1
30,452200.0,HIPOTECA,6.0,REFORMA,99960.0,11.99,N,5,1
26,154700.0,HIPOTECA,8.0,PAGAMENTO DE DIVIDAS,14280.0,13.22,S,3,1
28,302564.62,ALUGUEL,4.0,MÉDICO,76160.0,13.47,S,5,1
26,952019.06,ALUGUEL,7.0,MÉDICO,11900.0,13.61,S,2,1
24,428400.0,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,47600.0,,N,2,1
24,280840.0,ALUGUEL,5.0,EDUCAÇÃO,71400.0,14.79,S,3,0
33,1142400.0,PRÓPRIO,15.0,PESSOAL,71400.0,13.16,S,10,1
30,690200.0,HIPOTECA,3.0,REFORMA,45696.0,7.9,N,6,1
24,285600.0,ALUGUEL,4.0,PESSOAL,59500.0,11.49,N,3,1
30,152339.05,PRÓPRIO,4.0,INVESTIMENTO,26180.0,8.0,N,8,1
27,190400.0,HIPOTECA,4.0,REFORMA,38080.0,14.72,N,7,1
23,523600.0,ALUGUEL,5.0,PAGAMENTO DE DIVIDAS,47600.0,7.88,N,2,1
25,333200.0,HIPOTECA,4.0,INVESTIMENTO,29988.0,10.37,N,4,1
51,466480.0,ALUGUEL,5.0,PESSOAL,28560.0,15.96,N,23,1
64,114240.0,ALUGUEL,1.0,MÉDICO,14280.0,6.99,N,21,1
38,199920.0,ALUGUEL,2.0,MÉDICO,21420.0,6.62,N,11,1
23,214200.0,HIPOTECA,8.0,INVESTIMENTO,61880.0,10.99,N,2,1
49,342720.0,ALUGUEL,4.0,PAGAMENTO DE DIVIDAS,38080.0,7.49,N,17,1
29,154224.0,HIPOTECA,2.0,MÉDICO,50575.0,,N,5,1
28,279888.0,HIPOTECA,11.0,INVESTIMENTO,26180.0,6.76,N,9,1
26,333200.0,HIPOTECA,4.0,EDUCAÇÃO,19040.0,13.98,S,4,1
25,199920.0,ALUGUEL,6.0,MÉDICO,26656.0,7.49,N,2,1
35,476000.0,HIPOTECA,13.0,EDUCAÇÃO,57120.0,15.76,N,6,1
27,157080.0,ALUGUEL,5.0,MÉDICO,19040.0,5.99,N,8,1
27,833000.0,HIPOTECA,11.0,REFORMA,54740.0,7.51,N,7,1
32,119000.0,ALUGUEL,1.0,MÉDICO,47600.0,8.49,N,10,0
22,333200.0,PRÓPRIO,0.0,MÉDICO,71400.0,11.26,N,3,1
27,219093.28,HIPOTECA,8.0,PAGAMENTO DE DIVIDAS,85680.0,10.74,N,9,1
23,384760.3,PRÓPRIO,0.0,MÉDICO,71400.0,15.65,N,2,1
30,504560.0,ALUGUEL,9.0,PAGAMENTO DE DIVIDAS,95200.0,13.22,S,5,1
22,333200.0,HIPOTECA,3.0,INVESTIMENTO,68544.0,11.71,N,4,1
31,138040.0,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,47600.0,13.75,N,8,0
26,304640.0,ALUGUEL,0.0,EDUCAÇÃO,45696.0,11.97,N,4,0
23,275128.0,ALUGUEL,2.0,MÉDICO,28560.0,10.99,N,4,0
36,361760.0,ALUGUEL,2.0,PAGAMENTO DE DIVIDAS,19040.0,17.39,N,13,0
32,368424.0,HIPOTECA,0.0,PAGAMENTO DE DIVIDAS,47600.0,18.43,N,6,0
30,214200.0,ALUGUEL,1.0,EDUCAÇÃO,28560.0,7.51,N,5,1
25,328440.0,ALUGUEL,1.0,PESSOAL,38080.0,13.99,N,2,0
23,387940.0,HIPOTECA,4.0,PAGAMENTO DE DIVIDAS,71400.0,10.0,N,4,1
25,399840.0,HIPOTECA,9.0,PAGAMENTO DE DIVIDAS,23800.0,16.02,N,3,0
22,109480.0,ALUGUEL,6.0,MÉDICO,29750.0,12.73,N,2,1
40,164220.0,ALUGUEL,2.0,PESSOAL,25704.0,12.61,N,13,0
29,476000.0,HIPOTECA,2.0,REFORMA,95200.0,14.61,S,10,1
31,379848.0,HIPOTECA,3.0,PESSOAL,23800.0,6.91,N,9,1
23,299404.0,ALUGUEL,2.0,MÉDICO,57120.0,14.96,N,4,0
23,404600.0,HIPOTECA,7.0,INVESTIMENTO,119000.0,10.36,N,4,1
28,74256.0,ALUGUEL,4.0,REFORMA,23800.0,10.37,N,9,0
25,142800.0,PRÓPRIO,9.0,INVESTIMENTO,33320.0,,N,3,1
45,159936.0,PRÓPRIO,14.0,INVESTIMENTO,19040.0,6.39,N,11,1
29,157080.0,ALUGUEL,0.0,EDUCAÇÃO,28560.0,15.23,N,6,1
54,571200.0,HIPOTECA,4.0,PESSOAL,83895.0,7.49,N,19,1
22,142800.0,ALUGUEL,2.0,PAGAMENTO DE DIVIDAS,71400.0,11.66,S,3,0
22,22848.0,ALUGUEL,1.0,PESSOAL,8568.0,14.84,S,2,0
23,230860.0,HIPOTECA,1.0,INVESTIMENTO,30940.0,,N,4,1
35,204680.0,HIPOTECA,7.0,PAGAMENTO DE DIVIDAS,62832.0,16.77,S,9,0
36,600954.75,ALUGUEL,16.0,REFORMA,66640.0,7.66,N,17,1
43,190400.0,HIPOTECA,3.0,MÉDICO,85680.0,11.83,N,15,1
32,514080.0,HIPOTECA,5.0,INVESTIMENTO,57120.0,11.49,N,10,1
26,161840.0,ALUGUEL,1.0,INVESTIMENTO,26180.0,13.11,N,3,1
22,280840.0,ALUGUEL,2.0,EDUCAÇÃO,52360.0,10.74,N,2,1
30,285600.0,HIPOTECA,13.0,INVESTIMENTO,58310.0,7.51,N,6,1
23,95200.0,PRÓPRIO,0.0,PESSOAL,23800.0,11.71,N,4,1
26,428400.0,ALUGUEL,2.0,PESSOAL,47600.0,7.49,N,4,1
25,202975.92,PRÓPRIO,8.0,EDUCAÇÃO,47600.0,15.76,S,3,1
25,209440.0,HIPOTECA,2.0,INVESTIMENTO,57120.0,14.54,N,2,1
45,204680.0,HIPOTECA,6.0,INVESTIMENTO,17136.0,13.49,N,15,1
22,142800.0,ALUGUEL,2.0,MÉDICO,33320.0,17.58,N,2,0
24,333200.0,HIPOTECA,1.0,REFORMA,42840.0,11.83,N,3,1
27,285600.0,HIPOTECA,2.0,REFORMA,71400.0,11.86,N,8,1
24,290836.0,ALUGUEL,1.0,PAGAMENTO DE DIVIDAS,71400.0,12.53,N,2,1
30,456960.0,HIPOTECA,7.0,PESSOAL,28560.0,11.49,N,6,1
45,91392.0,ALUGUEL,1.0,INVESTIMENTO,19040.0,10.0,N,15,0
25,714000.0,HIPOTECA,7.0,REFORMA,104720.0,10.38,N,4,1
21,252280.0,PRÓPRIO,5.0,PESSOAL,68544.0,11.36,N,3,1
21,58833.6,ALUGUEL,,INVESTIMENTO,23800.0,10.75,N,4,0
24,97104.0,ALUGUEL,3.0,PAGAMENTO DE DIVIDAS,35938.0,14.79,S,3,0
23,261800.0,ALUGUEL,1.0,MÉDICO,38080.0,5.42,N,4,1
25,133280.0,ALUGUEL,6.0,INVESTIMENTO,19040.0,6.39,N,3,1
25,552160.0,HIPOTECA,0.0,EDUCAÇÃO,166600.0,17.58,S,4,1
24,126140.0,ALUGUEL,0.0,MÉDICO,28560.0,13.79,S,3,1
23,285600.0,HIPOTECA,5.0,PESSOAL,71400.0,15.21,S,3,1
47,309400.0,ALUGUEL,2.0,EDUCAÇÃO,45220.0,11.89,N,14,1
22,952000.0,HIPOTECA,6.0,PAGAMENTO DE DIVIDAS,42840.0,6.17,N,4,1
31,38080.0,ALUGUEL,0.0,EDUCAÇÃO,19040.0,,N,7,0
21,228480.0,HIPOTECA,1.0,EDUCAÇÃO,16660.0,10.25,N,3,0
69,114240.0,ALUGUEL,3.0,MÉDICO,28560.0,6.62,N,20,1
24,333200.0,ALUGUEL,1.0,INVESTIMENTO,57120.0,11.58,N,3,1
28,380800.0,ALUGUEL,3.0,REFORMA,80920.0,13.85,S,8,1
29,228480.0,HIPOTECA,4.0,REFORMA,23800.0,5.99,N,8,1
30,357000.0,ALUGUEL,2.0,MÉDICO,28560.0,12.68,N,8,1
34,318920.0,HIPOTECA,4.0,EDUCAÇÃO,33320.0,7.51,N,9,1
23,404600.0,HIPOTECA,7.0,EDUCAÇÃO,19040.0,5.79,N,3,1
23,261800.0,ALUGUEL,4.0,EDUCAÇÃO,38080.0,9.25,N,2,1
23,157080.0,ALUGUEL,7.0,PESSOAL,26180.0,14.54,S,3,1
30,161840.0,ALUGUEL,0.0,INVESTIMENTO,19040.0,10.95,N,10,1
25,523600.0,PRÓPRIO,6.0,PESSOAL,133280.0,9.91,N,2,1
42,357000.0,HIPOTECA,2.0,EDUCAÇÃO,45696.0,11.99,N,11,1
25,547400.0,HIPOTECA,4.0,INVESTIMENTO,95200.0,6.91,N,2,1
45,380800.0,ALUGUEL,10.0,MÉDICO,166600.0,,N,13,0
42,285600.0,HIPOTECA,4.0,REFORMA,42126.0,10.37,N,16,1
23,433160.0,HIPOTECA,5.0,INVESTIMENTO,47600.0,16.32,S,3,1
23,271320.0,PRÓPRIO,7.0,EDUCAÇÃO,19992.0,10.51,N,3,1
36,184664.2,HIPOTECA,,REFORMA,9520.0,,N,13,1
23,352240.0,PRÓPRIO,7.0,PESSOAL,71400.0,15.99,S,4,1
24,224243.6,HIPOTECA,0.0,PESSOAL,52360.0,10.99,N,4,1
26,204680.0,ALUGUEL,1.0,MÉDICO,38080.0,12.87,S,3,1
25,197635.2,PRÓPRIO,9.0,MÉDICO,20944.0,7.29,N,2,1
30,190400.0,ALUGUEL,4.0,INVESTIMENTO,21420.0,14.26,S,6,1
21,118809.6,HIPOTECA,0.0,PESSOAL,9520.0,13.99,S,3,1
24,138040.0,ALUGUEL,0.0,EDUCAÇÃO,52360.0,15.05,S,4,0
38,309400.0,PRÓPRIO,3.0,PESSOAL,38080.0,10.62,N,14,1
25,238000.0,ALUGUEL,9.0,REFORMA,28917.0,10.0,N,2,1
25,218960.0,ALUGUEL,9.0,PESSOAL,33320.0,8.49,N,2,1
30,571200.0,HIPOTECA,14.0,INVESTIMENTO,35700.0,15.65,N,5,1
29,1190000.0,HIPOTECA,12.0,INVESTIMENTO,38080.0,7.51,N,10,1
26,171360.0,ALUGUEL,10.0,MÉDICO,30464.0,5.99,N,3,1
22,171360.0,ALUGUEL,6.0,INVESTIMENTO,19040.0,,N,4,1
52,396032.0,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,38080.0,15.96,S,30,1
24,309400.0,HIPOTECA,3.0,EDUCAÇÃO,57120.0,9.91,N,4,1
30,328440.0,ALUGUEL,2.0,INVESTIMENTO,95200.0,17.14,S,7,0
29,442680.0,ALUGUEL,13.0,EDUCAÇÃO,99960.0,12.42,N,10,0
44,547400.0,HIPOTECA,3.0,REFORMA,57120.0,,N,14,1
24,95200.0,ALUGUEL,3.0,MÉDICO,17136.0,11.71,N,4,1
33,276080.0,ALUGUEL,0.0,INVESTIMENTO,68544.0,9.91,N,5,1
27,480779.03,HIPOTECA,2.0,MÉDICO,52479.0,7.9,N,5,1
27,342720.0,HIPOTECA,11.0,PESSOAL,23800.0,11.86,N,10,0
34,333200.0,HIPOTECA,5.0,INVESTIMENTO,28560.0,,N,6,1
28,618800.0,HIPOTECA,1.0,EDUCAÇÃO,26656.0,15.65,N,9,1
32,119952.0,PRÓPRIO,17.0,MÉDICO,19040.0,6.54,N,6,1
62,364140.0,ALUGUEL,0.0,EDUCAÇÃO,95200.0,16.77,S,29,0
38,590240.0,HIPOTECA,8.0,INVESTIMENTO,57120.0,,N,16,1
27,414120.0,HIPOTECA,11.0,INVESTIMENTO,100555.0,13.92,N,5,1
32,199920.0,PRÓPRIO,15.0,MÉDICO,8568.0,10.2,N,9,1
31,159936.0,ALUGUEL,0.0,MÉDICO,19040.0,11.49,N,5,1
29,285600.0,HIPOTECA,2.0,MÉDICO,7140.0,6.03,N,5,1
24,380819.03,HIPOTECA,8.0,REFORMA,28560.0,6.17,N,3,1
24,139144.31,HIPOTECA,1.0,INVESTIMENTO,52360.0,11.71,N,2,1
29,761600.0,HIPOTECA,9.0,PESSOAL,69972.0,13.43,S,5,1
24,128520.0,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,47600.0,12.73,N,2,0
32,223720.0,PRÓPRIO,8.0,INVESTIMENTO,28560.0,8.9,N,5,1
41,111364.96,PRÓPRIO,5.0,REFORMA,47600.0,10.38,N,16,1
24,138992.0,HIPOTECA,6.0,PESSOAL,11900.0,6.76,N,2,1
33,499800.0,HIPOTECA,6.0,PESSOAL,24514.0,12.41,S,9,1
26,404600.0,ALUGUEL,3.0,REFORMA,99960.0,13.92,N,3,1
30,952000.0,HIPOTECA,0.0,REFORMA,47600.0,8.59,N,7,1
22,390320.0,HIPOTECA,5.0,EDUCAÇÃO,95200.0,9.88,N,4,1
25,332724.0,HIPOTECA,9.0,PAGAMENTO DE DIVIDAS,24038.0,5.42,N,3,1
24,198149.28,ALUGUEL,6.0,PAGAMENTO DE DIVIDAS,28560.0,11.28,S,2,0
27,333200.0,ALUGUEL,4.0,MÉDICO,35700.0,7.88,N,5,1
35,523600.0,HIPOTECA,7.0,EDUCAÇÃO,48552.0,5.42,N,6,1
33,337960.0,HIPOTECA,4.0,MÉDICO,25228.0,11.49,N,7,1
22,47600.0,ALUGUEL,0.0,REFORMA,33320.0,12.21,N,2,0
31,333200.0,HIPOTECA,4.0,MÉDICO,57120.0,6.91,N,7,1
31,238000.0,ALUGUEL,5.0,PESSOAL,21420.0,9.99,N,5,1
24,99008.0,PRÓPRIO,0.0,PESSOAL,23800.0,16.29,S,3,1
29,161820.95,ALUGUEL,13.0,EDUCAÇÃO,28560.0,14.09,N,7,1
27,295120.0,HIPOTECA,1.0,REFORMA,15589.0,9.33,N,8,1
24,228480.0,ALUGUEL,8.0,PESSOAL,57120.0,16.77,S,3,1
25,285600.0,ALUGUEL,9.0,INVESTIMENTO,47600.0,9.91,N,3,1
22,211820.0,ALUGUEL,1.0,PAGAMENTO DE DIVIDAS,79730.0,10.75,N,4,0
22,371280.0,ALUGUEL,3.0,INVESTIMENTO,47600.0,12.42,N,2,1
35,309400.0,HIPOTECA,19.0,EDUCAÇÃO,95200.0,10.25,N,5,1
25,137088.0,HIPOTECA,9.0,REFORMA,29750.0,10.25,N,2,1
22,228480.0,ALUGUEL,6.0,MÉDICO,78540.0,8.9,N,4,0
23,161878.08,ALUGUEL,5.0,INVESTIMENTO,14280.0,10.0,N,4,1
23,271320.0,ALUGUEL,3.0,EDUCAÇÃO,95200.0,16.89,N,2,0
33,114240.0,ALUGUEL,0.0,EDUCAÇÃO,9520.0,14.35,S,7,1
23,331976.7,HIPOTECA,7.0,PESSOAL,4760.0,14.11,N,3,1
29,345100.0,HIPOTECA,2.0,MÉDICO,33320.0,13.79,S,8,1
23,214200.0,ALUGUEL,0.0,INVESTIMENTO,29631.0,11.54,S,4,1
28,204680.0,HIPOTECA,4.0,MÉDICO,65688.0,6.91,N,6,1
33,114240.0,ALUGUEL,6.0,PAGAMENTO DE DIVIDAS,47600.0,8.9,N,5,0
26,309400.0,HIPOTECA,10.0,REFORMA,38080.0,6.99,N,3,1
24,209440.0,HIPOTECA,8.0,PAGAMENTO DE DIVIDAS,51170.0,6.17,N,3,1
24,238019.05,ALUGUEL,0.0,EDUCAÇÃO,66640.0,12.21,N,3,1
36,228480.0,HIPOTECA,17.0,INVESTIMENTO,47600.0,9.63,N,14,1
35,133280.0,PRÓPRIO,3.0,INVESTIMENTO,36176.0,6.62,N,10,1
29,166600.0,ALUGUEL,2.0,PAGAMENTO DE DIVIDAS,9520.0,9.63,N,8,1
28,166600.0,ALUGUEL,12.0,PESSOAL,47600.0,16.29,N,5,1
25,476000.0,HIPOTECA,0.0,EDUCAÇÃO,35700.0,6.54,N,4,1
37,4284000.0,HIPOTECA,5.0,PESSOAL,119000.0,12.87,S,13,1
25,238000.0,ALUGUEL,3.0,EDUCAÇÃO,19040.0,14.61,N,2,1
21,475980.97,ALUGUEL,5.0,INVESTIMENTO,38080.0,7.14,N,4,1
26,547400.0,HIPOTECA,3.0,EDUCAÇÃO,95200.0,13.16,S,2,1
34,380800.0,ALUGUEL,4.0,INVESTIMENTO,23800.0,,N,9,1
24,344833.44,HIPOTECA,7.0,REFORMA,119000.0,10.74,N,4,1
47,284776.53,HIPOTECA,9.0,EDUCAÇÃO,28560.0,15.58,N,15,0
23,628320.0,HIPOTECA,5.0,PESSOAL,71400.0,6.99,N,2,1
21,74256.0,ALUGUEL,2.0,PESSOAL,16660.0,16.07,N,3,0
25,266579.03,ALUGUEL,3.0,MÉDICO,33320.0,14.22,N,4,1
48,142800.0,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,28560.0,12.42,N,12,0
24,525504.0,HIPOTECA,8.0,INVESTIMENTO,14280.0,7.49,N,4,1
37,291597.6,HIPOTECA,2.0,MÉDICO,30226.0,7.51,N,14,1
29,247520.0,ALUGUEL,2.0,EDUCAÇÃO,57120.0,7.9,N,7,1
29,309400.0,HIPOTECA,2.0,MÉDICO,22848.0,,N,5,1
24,411149.75,HIPOTECA,2.0,MÉDICO,95200.0,7.29,N,3,1
26,171360.0,ALUGUEL,3.0,INVESTIMENTO,37128.0,14.27,N,2,1
24,309400.0,ALUGUEL,6.0,REFORMA,154700.0,9.99,N,3,0
21,183260.0,HIPOTECA,5.0,PESSOAL,30940.0,7.51,N,3,1
25,285600.0,ALUGUEL,2.0,REFORMA,47600.0,12.09,N,2,1
25,285600.0,PRÓPRIO,8.0,INVESTIMENTO,66640.0,11.12,N,2,1
29,28560.0,ALUGUEL,0.0,REFORMA,15470.0,8.59,N,9,0
35,495040.0,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,14280.0,11.58,N,6,1
29,166600.0,ALUGUEL,1.0,INVESTIMENTO,71400.0,7.9,N,10,0
22,432626.88,HIPOTECA,5.0,EDUCAÇÃO,62832.0,14.79,N,4,1
36,276080.0,ALUGUEL,18.0,PAGAMENTO DE DIVIDAS,23800.0,6.62,N,17,1
29,342720.0,ALUGUEL,3.0,MÉDICO,45220.0,11.26,N,7,1
40,5712000.0,HIPOTECA,1.0,MÉDICO,47600.0,,N,16,1
26,274176.0,HIPOTECA,10.0,MÉDICO,8568.0,12.42,N,3,1
24,214200.0,HIPOTECA,5.0,EDUCAÇÃO,23800.0,,N,4,1
25,199920.0,ALUGUEL,8.0,PAGAMENTO DE DIVIDAS,58905.0,7.29,N,4,1
38,261800.0,HIPOTECA,4.0,PAGAMENTO DE DIVIDAS,119000.0,,S,14,0
23,428400.0,HIPOTECA,6.0,PAGAMENTO DE DIVIDAS,57120.0,,N,3,1
28,147560.0,ALUGUEL,6.0,PESSOAL,11424.0,11.49,N,6,1
31,1399440.0,HIPOTECA,7.0,INVESTIMENTO,57120.0,8.94,N,6,1
23,214200.0,ALUGUEL,7.0,EDUCAÇÃO,47600.0,6.62,N,4,1
29,171360.0,PRÓPRIO,2.0,INVESTIMENTO,11900.0,10.99,N,7,1
24,404600.0,ALUGUEL,0.0,EDUCAÇÃO,76160.0,6.91,N,2,1
22,142800.0,ALUGUEL,,EDUCAÇÃO,20706.0,6.03,N,4,1
21,485520.0,HIPOTECA,0.0,EDUCAÇÃO,85680.0,14.96,N,3,1
21,156604.0,HIPOTECA,2.0,MÉDICO,14280.0,9.99,N,2,1
27,404600.0,ALUGUEL,6.0,REFORMA,42840.0,10.36,N,5,1
26,618780.94,ALUGUEL,6.0,PESSOAL,119000.0,10.75,N,3,1
23,238000.0,HIPOTECA,2.0,PESSOAL,19040.0,11.86,N,3,1
24,242760.0,ALUGUEL,1.0,PAGAMENTO DE DIVIDAS,14280.0,8.9,N,2,1
27,404600.0,HIPOTECA,11.0,EDUCAÇÃO,57120.0,6.62,N,10,1
51,571200.0,HIPOTECA,2.0,PESSOAL,142800.0,7.9,N,22,1
23,102816.0,ALUGUEL,2.0,REFORMA,28560.0,14.42,N,2,0
25,316159.2,HIPOTECA,1.0,MÉDICO,19040.0,12.18,N,3,1
36,913920.0,OUTRO,11.0,INVESTIMENTO,95200.0,11.48,N,17,1
38,247520.0,PRÓPRIO,3.0,PESSOAL,38080.0,15.21,N,13,1
22,261800.0,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,71400.0,14.83,S,4,0
21,164220.0,HIPOTECA,3.0,EDUCAÇÃO,30464.0,7.51,N,2,1
33,495040.0,ALUGUEL,9.0,PAGAMENTO DE DIVIDAS,38080.0,11.58,N,8,1
28,490280.0,HIPOTECA,2.0,EDUCAÇÃO,23800.0,5.42,N,5,1
30,269549.28,HIPOTECA,2.0,REFORMA,57120.0,8.94,N,10,1
42,4231640.0,ALUGUEL,13.0,EDUCAÇÃO,95200.0,,N,17,1
32,109480.0,ALUGUEL,1.0,PAGAMENTO DE DIVIDAS,19040.0,14.22,S,6,1
