Idade,Renda anual,Tipo residência,Tempo no emprego,Intenção de empréstimo,Valor do empréstimo,Taxa de juros,Status do empréstimo,Histórico não pagamentos,Tempo histórico de crédito
21,57120.0,PRÓPRIO,0.0,PESSOAL,19992.0,13.48,0,S,4
22,57120.0,PRÓPRIO,6.0,PAGAMENTO DE DIVIDAS,22610.0,7.14,0,N,2
24,395099.04,ALUGUEL,0.0,INVESTIMENTO,133280.0,15.99,0,S,4
24,1190000.0,ALUGUEL,2.0,EDUCAÇÃO,85680.0,12.98,1,S,3
144,1190000.0,ALUGUEL,4.0,INVESTIMENTO,22848.0,13.57,1,N,3
25,476000.0,ALUGUEL,5.0,PAGAMENTO DE DIVIDAS,133280.0,12.69,1,N,3
26,523600.0,ALUGUEL,10.0,EDUCAÇÃO,133280.0,8.9,1,N,2
26,57120.0,PRÓPRIO,0.0,PAGAMENTO DE DIVIDAS,12852.0,,0,N,4
22,514080.0,ALUGUEL,6.0,EDUCAÇÃO,133280.0,,0,N,4
23,719712.0,ALUGUEL,7.0,PAGAMENTO DE DIVIDAS,133280.0,11.11,1,N,2
24,328440.0,ALUGUEL,2.0,REFORMA,131376.0,,0,N,2
21,57120.0,HIPOTECA,5.0,PAGAMENTO DE DIVIDAS,15470.0,15.68,0,S,3
22,333200.0,ALUGUEL,4.0,EDUCAÇÃO,130900.0,13.06,0,S,3
22,1142400.0,PRÓPRIO,6.0,PESSOAL,119000.0,,1,N,2
26,348432.0,ALUGUEL,5.0,INVESTIMENTO,128758.0,15.62,0,S,2
24,395080.0,ALUGUEL,5.0,PESSOAL,128520.0,13.49,0,S,2
24,349379.24,ALUGUEL,0.0,INVESTIMENTO,128520.0,,0,N,3
23,297500.0,ALUGUEL,7.0,MÉDICO,123760.0,11.71,0,N,2
23,571200.0,ALUGUEL,1.0,EDUCAÇÃO,121856.0,12.69,1,N,3
24,58833.6,PRÓPRIO,2.0,MÉDICO,7616.0,13.57,1,N,3
22,285600.0,ALUGUEL,0.0,INVESTIMENTO,121261.0,10.99,0,N,3
25,1113840.0,HIPOTECA,3.0,MÉDICO,95200.0,14.27,1,S,4
24,1113840.0,PRÓPRIO,8.0,REFORMA,95200.0,8.88,1,N,4
26,1113840.0,HIPOTECA,10.0,REFORMA,102816.0,12.18,1,N,3
25,1051979.04,HIPOTECA,6.0,PAGAMENTO DE DIVIDAS,56644.0,14.42,0,S,3
26,1106700.0,HIPOTECA,0.0,MÉDICO,119000.0,14.17,1,S,2
25,1094800.0,HIPOTECA,5.0,MÉDICO,166600.0,13.99,1,N,4
23,395080.0,ALUGUEL,7.0,EDUCAÇÃO,120428.0,10.99,0,N,3
22,59976.0,HIPOTECA,,PESSOAL,9520.0,5.42,0,N,4
25,59976.0,PRÓPRIO,3.0,PESSOAL,8330.0,13.61,1,N,3
21,202300.0,ALUGUEL,3.0,EDUCAÇÃO,119000.0,12.73,0,S,3
24,195160.0,ALUGUEL,2.0,REFORMA,119000.0,,0,N,3
25,61004.16,PRÓPRIO,0.0,PAGAMENTO DE DIVIDAS,14280.0,12.87,0,S,4
24,61689.6,HIPOTECA,1.0,REFORMA,17374.0,9.91,0,N,3
26,1075760.0,HIPOTECA,4.0,REFORMA,95200.0,11.49,1,N,4
25,1071000.0,HIPOTECA,0.0,REFORMA,142800.0,19.91,1,S,2
26,1013880.0,HIPOTECA,6.0,EDUCAÇÃO,166600.0,10.65,0,N,2
24,1071000.0,ALUGUEL,0.0,MÉDICO,28560.0,,1,N,4
24,61689.6,HIPOTECA,0.0,PAGAMENTO DE DIVIDAS,21420.0,11.83,0,N,4
23,61860.96,PRÓPRIO,0.0,PAGAMENTO DE DIVIDAS,11424.0,13.49,0,S,2
22,199920.0,ALUGUEL,6.0,MÉDICO,119000.0,14.59,0,S,2
26,228480.0,ALUGUEL,2.0,EDUCAÇÃO,119000.0,9.64,0,N,4
25,61860.96,PRÓPRIO,1.0,MÉDICO,17136.0,14.59,0,N,3
22,61860.96,PRÓPRIO,1.0,EDUCAÇÃO,22610.0,,0,N,3
25,201633.6,ALUGUEL,1.0,EDUCAÇÃO,119000.0,16.35,0,S,3
21,233240.0,ALUGUEL,4.0,EDUCAÇÃO,119000.0,10.99,0,N,2
25,1071000.0,HIPOTECA,0.0,INVESTIMENTO,119000.0,18.67,1,N,2
26,1071000.0,ALUGUEL,1.0,EDUCAÇÃO,14280.0,9.32,1,N,4
23,1071000.0,ALUGUEL,8.0,PAGAMENTO DE DIVIDAS,35700.0,8.63,1,N,2
26,1071000.0,HIPOTECA,2.0,INVESTIMENTO,119000.0,10.08,1,N,2
22,235448.64,ALUGUEL,5.0,PESSOAL,119000.0,11.83,0,N,3
23,238000.0,ALUGUEL,1.0,PAGAMENTO DE DIVIDAS,119000.0,7.9,0,N,3
25,238000.0,ALUGUEL,4.0,REFORMA,119000.0,5.99,0,N,2
24,209440.0,ALUGUEL,2.0,PAGAMENTO DE DIVIDAS,119000.0,15.33,0,N,2
23,238000.0,ALUGUEL,1.0,INVESTIMENTO,119000.0,11.83,0,N,4
22,238019.04,ALUGUEL,0.0,INVESTIMENTO,119000.0,10.36,0,N,2
22,238019.04,ALUGUEL,3.0,INVESTIMENTO,119000.0,12.23,0,N,3
22,247520.0,ALUGUEL,2.0,EDUCAÇÃO,119000.0,11.11,0,N,4
23,62832.0,PRÓPRIO,3.0,PAGAMENTO DE DIVIDAS,23562.0,7.9,0,N,4
24,1047200.0,HIPOTECA,1.0,EDUCAÇÃO,119000.0,11.58,1,N,2
23,1028160.0,HIPOTECA,5.0,PAGAMENTO DE DIVIDAS,99960.0,8.9,1,N,3
25,1028160.0,HIPOTECA,2.0,EDUCAÇÃO,119000.0,16.07,1,N,3
26,1028160.0,HIPOTECA,10.0,EDUCAÇÃO,95200.0,14.22,1,S,2
23,1023400.0,HIPOTECA,7.0,MÉDICO,166600.0,14.79,1,S,3
26,1023400.0,HIPOTECA,11.0,EDUCAÇÃO,57120.0,7.88,1,N,2
23,247520.0,ALUGUEL,1.0,PESSOAL,119000.0,13.22,0,N,2
26,218960.0,ALUGUEL,2.0,PAGAMENTO DE DIVIDAS,119000.0,11.86,0,N,4
22,252280.0,ALUGUEL,5.0,EDUCAÇÃO,119000.0,13.43,0,S,4
26,223720.0,ALUGUEL,0.0,REFORMA,119000.0,15.28,0,S,2
23,223720.0,ALUGUEL,1.0,INVESTIMENTO,119000.0,17.93,0,N,2
23,62832.0,HIPOTECA,2.0,EDUCAÇÃO,6664.0,9.25,1,N,4
21,62832.0,PRÓPRIO,0.0,INVESTIMENTO,21420.0,12.98,0,N,4
22,999600.0,HIPOTECA,6.0,INVESTIMENTO,76160.0,10.62,1,N,4
26,999600.0,PRÓPRIO,10.0,PESSOAL,104720.0,11.83,1,N,4
26,228480.0,ALUGUEL,5.0,INVESTIMENTO,119000.0,18.43,0,N,2
22,261780.96,ALUGUEL,6.0,EDUCAÇÃO,119000.0,,0,N,4
24,261800.0,ALUGUEL,4.0,REFORMA,119000.0,,0,S,4
23,261800.0,ALUGUEL,4.0,EDUCAÇÃO,119000.0,11.36,0,N,3
23,261800.0,ALUGUEL,4.0,EDUCAÇÃO,119000.0,15.65,0,S,3
24,262580.64,ALUGUEL,8.0,PESSOAL,119000.0,13.22,0,S,4
26,266560.0,ALUGUEL,4.0,PAGAMENTO DE DIVIDAS,119000.0,12.87,0,N,2
24,968660.0,PRÓPRIO,8.0,MÉDICO,95200.0,13.04,1,N,3
23,904400.0,HIPOTECA,5.0,EDUCAÇÃO,104720.0,17.58,0,S,3
23,66259.2,PRÓPRIO,2.0,PESSOAL,36890.0,17.04,0,N,4
24,285600.0,ALUGUEL,0.0,PESSOAL,119000.0,10.99,0,N,3
24,285600.0,ALUGUEL,2.0,PESSOAL,119000.0,11.11,0,N,3
26,257040.0,ALUGUEL,7.0,PAGAMENTO DE DIVIDAS,119000.0,14.83,0,S,2
23,66640.0,PRÓPRIO,2.0,PAGAMENTO DE DIVIDAS,19040.0,,0,N,3
24,952000.0,ALUGUEL,8.0,MÉDICO,57120.0,12.69,1,N,2
24,952000.0,HIPOTECA,8.0,REFORMA,57120.0,13.49,1,N,2
21,952000.0,HIPOTECA,5.0,EDUCAÇÃO,76160.0,14.65,1,N,4
25,257040.0,ALUGUEL,3.0,REFORMA,119000.0,16.82,0,N,4
23,285600.0,ALUGUEL,3.0,PESSOAL,119000.0,12.73,0,N,3
23,285600.0,ALUGUEL,7.0,PESSOAL,119000.0,10.25,0,N,4
21,285600.0,ALUGUEL,6.0,EDUCAÇÃO,119000.0,10.99,0,N,4
25,294924.84,ALUGUEL,9.0,MÉDICO,119000.0,12.73,0,N,2
22,268464.0,ALUGUEL,2.0,REFORMA,119000.0,14.96,0,S,3
23,952000.0,HIPOTECA,7.0,EDUCAÇÃO,133280.0,,1,N,2
21,952000.0,HIPOTECA,2.0,PAGAMENTO DE DIVIDAS,119000.0,13.99,1,N,2
24,952000.0,HIPOTECA,3.0,INVESTIMENTO,114240.0,7.49,1,N,4
26,952000.0,HIPOTECA,4.0,EDUCAÇÃO,71400.0,14.79,1,N,3
25,952000.0,HIPOTECA,2.0,PAGAMENTO DE DIVIDAS,73780.0,11.99,1,N,2
24,952000.0,ALUGUEL,8.0,EDUCAÇÃO,47600.0,8.49,1,N,4
24,314160.0,ALUGUEL,3.0,EDUCAÇÃO,119000.0,9.91,0,N,2
22,314160.0,ALUGUEL,6.0,EDUCAÇÃO,119000.0,13.06,0,S,3
22,952000.0,HIPOTECA,6.0,PAGAMENTO DE DIVIDAS,42840.0,6.17,1,N,4
144,952000.0,HIPOTECA,4.0,EDUCAÇÃO,28560.0,11.86,1,N,2
25,952000.0,ALUGUEL,5.0,EDUCAÇÃO,85680.0,16.32,1,N,3
25,952000.0,HIPOTECA,2.0,INVESTIMENTO,57120.0,10.38,1,N,2
25,952000.0,HIPOTECA,9.0,PESSOAL,109718.0,14.35,1,N,3
24,952000.0,HIPOTECA,8.0,PAGAMENTO DE DIVIDAS,95200.0,,1,N,3
24,285600.0,ALUGUEL,2.0,PAGAMENTO DE DIVIDAS,119000.0,,0,S,2
21,68544.0,PRÓPRIO,0.0,REFORMA,14280.0,,0,N,4
26,318900.96,ALUGUEL,10.0,PESSOAL,119000.0,15.21,0,S,2
23,318920.0,ALUGUEL,3.0,EDUCAÇÃO,119000.0,7.9,0,N,4
24,318920.0,ALUGUEL,2.0,INVESTIMENTO,119000.0,10.99,0,N,3
24,323680.0,ALUGUEL,5.0,PESSOAL,119000.0,14.09,0,S,3
25,328440.0,ALUGUEL,9.0,PESSOAL,119000.0,17.49,0,N,2
25,952000.0,HIPOTECA,0.0,EDUCAÇÃO,57120.0,11.48,1,N,3
26,894880.0,HIPOTECA,10.0,INVESTIMENTO,95200.0,17.74,0,N,2
26,952000.0,HIPOTECA,4.0,PESSOAL,14280.0,13.92,1,N,3
25,333180.96,ALUGUEL,9.0,EDUCAÇÃO,119000.0,15.21,0,N,3
22,68544.0,PRÓPRIO,2.0,MÉDICO,19040.0,10.99,0,N,3
24,333200.0,ALUGUEL,3.0,EDUCAÇÃO,119000.0,11.86,0,N,4
24,68544.0,PRÓPRIO,5.0,PESSOAL,28560.0,7.49,0,N,3
24,267036.0,ALUGUEL,7.0,MÉDICO,119000.0,16.49,0,N,4
25,314160.0,ALUGUEL,9.0,INVESTIMENTO,119000.0,15.33,0,S,2
26,314160.0,ALUGUEL,3.0,REFORMA,119000.0,11.58,0,N,4
25,68544.0,PRÓPRIO,7.0,EDUCAÇÃO,25585.0,5.79,0,N,2
25,345633.12,ALUGUEL,9.0,MÉDICO,119000.0,13.11,0,N,2
23,352240.0,ALUGUEL,3.0,MÉDICO,119000.0,10.36,0,N,3
25,357000.0,ALUGUEL,9.0,PAGAMENTO DE DIVIDAS,119000.0,10.36,0,N,2
24,913920.0,ALUGUEL,0.0,MÉDICO,104720.0,,1,S,2
21,913920.0,HIPOTECA,123.0,INVESTIMENTO,95200.0,6.54,1,N,4
25,909160.0,HIPOTECA,1.0,MÉDICO,47600.0,12.53,1,N,4
26,905828.0,HIPOTECA,5.0,PESSOAL,71400.0,,1,N,3
22,904400.0,HIPOTECA,3.0,INVESTIMENTO,47600.0,,1,N,3
24,357000.0,ALUGUEL,4.0,EDUCAÇÃO,119000.0,10.25,0,N,4
22,337960.0,ALUGUEL,1.0,EDUCAÇÃO,119000.0,15.95,0,S,4
26,904400.0,HIPOTECA,3.0,INVESTIMENTO,95200.0,12.18,1,N,4
23,904380.96,PRÓPRIO,0.0,PESSOAL,114240.0,11.83,1,N,3
23,371280.0,ALUGUEL,7.0,PAGAMENTO DE DIVIDAS,119000.0,,0,S,2
23,371280.0,ALUGUEL,1.0,INVESTIMENTO,119000.0,10.62,0,N,3
23,373679.04,ALUGUEL,7.0,INVESTIMENTO,119000.0,10.74,0,N,3
25,885360.0,PRÓPRIO,9.0,INVESTIMENTO,47600.0,10.25,1,N,4
24,880600.0,HIPOTECA,,EDUCAÇÃO,166600.0,12.42,1,N,2
25,880600.0,ALUGUEL,6.0,INVESTIMENTO,71400.0,15.27,1,N,2
24,295358.0,ALUGUEL,8.0,MÉDICO,119000.0,15.33,0,S,2
23,378020.16,ALUGUEL,7.0,INVESTIMENTO,119000.0,15.21,0,S,2
21,68544.0,PRÓPRIO,4.0,INVESTIMENTO,29750.0,14.72,0,N,2
24,379043.56,ALUGUEL,8.0,PESSOAL,119000.0,15.7,0,S,2
24,379048.32,ALUGUEL,0.0,EDUCAÇÃO,119000.0,13.35,0,N,4
21,68544.0,HIPOTECA,0.0,MÉDICO,7140.0,,1,N,4
24,380800.0,ALUGUEL,6.0,EDUCAÇÃO,119000.0,6.62,0,N,2
26,380800.0,ALUGUEL,5.0,PAGAMENTO DE DIVIDAS,119000.0,13.61,0,N,4
22,880600.0,ALUGUEL,4.0,MÉDICO,119000.0,11.36,1,N,2
26,880600.0,PRÓPRIO,10.0,PESSOAL,23800.0,7.68,1,N,2
24,880561.9199999999,ALUGUEL,7.0,REFORMA,104720.0,14.46,1,S,4
23,875840.0,PRÓPRIO,5.0,EDUCAÇÃO,11900.0,11.83,1,N,2
24,818720.0,HIPOTECA,6.0,PAGAMENTO DE DIVIDAS,95200.0,13.47,0,S,4
24,871080.0,HIPOTECA,2.0,MÉDICO,95200.0,11.49,1,N,3
22,871080.0,HIPOTECA,3.0,EDUCAÇÃO,4760.0,,1,N,2
25,870851.52,HIPOTECA,9.0,PESSOAL,71400.0,6.03,1,N,3
23,352259.04,ALUGUEL,7.0,PAGAMENTO DE DIVIDAS,119000.0,16.35,0,N,4
26,352259.04,ALUGUEL,10.0,PAGAMENTO DE DIVIDAS,119000.0,,0,S,4
25,385560.0,ALUGUEL,5.0,PAGAMENTO DE DIVIDAS,119000.0,7.29,0,N,3
23,388416.0,ALUGUEL,1.0,MÉDICO,119000.0,11.36,0,N,3
24,390320.0,ALUGUEL,8.0,INVESTIMENTO,119000.0,10.25,1,N,2
24,395080.0,ALUGUEL,5.0,EDUCAÇÃO,119000.0,11.12,1,N,3
24,395080.0,ALUGUEL,5.0,PESSOAL,119000.0,12.92,1,S,3
24,856800.0,ALUGUEL,8.0,EDUCAÇÃO,85680.0,18.64,1,S,4
23,856800.0,HIPOTECA,8.0,PESSOAL,133280.0,7.51,1,N,3
23,68544.0,PRÓPRIO,2.0,REFORMA,19040.0,16.7,0,N,2
22,68544.0,PRÓPRIO,0.0,PESSOAL,9996.0,11.14,1,N,4
22,402220.0,ALUGUEL,6.0,PESSOAL,119000.0,18.3,1,N,4
24,404600.0,ALUGUEL,5.0,MÉDICO,119000.0,10.62,1,N,4
24,856800.0,HIPOTECA,7.0,INVESTIMENTO,66640.0,11.99,1,N,2
26,856800.0,HIPOTECA,2.0,INVESTIMENTO,57120.0,9.63,1,N,4
25,679728.0,HIPOTECA,9.0,MÉDICO,47600.0,18.25,0,N,4
23,69800.64,HIPOTECA,0.0,PAGAMENTO DE DIVIDAS,28560.0,,0,N,4
24,414120.0,ALUGUEL,8.0,REFORMA,119000.0,14.84,1,N,3
24,357000.0,ALUGUEL,0.0,INVESTIMENTO,119000.0,14.7,0,S,3
23,361760.0,ALUGUEL,7.0,PAGAMENTO DE DIVIDAS,119000.0,16.02,0,N,4
23,315183.4,ALUGUEL,1.0,MÉDICO,119000.0,15.37,0,S,2
25,428400.0,ALUGUEL,9.0,MÉDICO,119000.0,10.99,1,N,4
21,71400.0,PRÓPRIO,0.0,REFORMA,29512.0,7.9,0,N,2
26,856800.0,PRÓPRIO,2.0,PESSOAL,119000.0,10.99,1,N,4
24,856800.0,PRÓPRIO,8.0,EDUCAÇÃO,99960.0,11.48,1,N,3
25,856800.0,PRÓPRIO,9.0,MÉDICO,95200.0,14.26,1,S,4
26,856800.0,PRÓPRIO,0.0,REFORMA,47600.0,8.0,1,N,4
25,856800.0,HIPOTECA,3.0,INVESTIMENTO,47362.0,11.26,1,N,2
23,71400.0,PRÓPRIO,7.0,MÉDICO,21301.0,,0,N,4
23,371280.0,ALUGUEL,2.0,INVESTIMENTO,119000.0,16.32,0,S,3
25,315588.0,ALUGUEL,3.0,MÉDICO,119000.0,17.93,0,S,4
23,428400.0,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,119000.0,11.36,1,N,3
24,376040.0,ALUGUEL,9.0,PAGAMENTO DE DIVIDAS,119000.0,14.96,0,S,4
24,436968.0,ALUGUEL,4.0,PESSOAL,119000.0,13.43,1,S,3
25,437920.0,ALUGUEL,6.0,REFORMA,119000.0,12.69,1,N,3
24,437920.0,ALUGUEL,1.0,INVESTIMENTO,119000.0,12.73,1,S,4
23,445536.0,ALUGUEL,3.0,INVESTIMENTO,119000.0,15.21,1,N,4
23,71400.0,HIPOTECA,1.0,MÉDICO,8330.0,12.68,1,S,3
23,335818.0,ALUGUEL,3.0,MÉDICO,119000.0,19.04,0,S,4
25,398888.0,ALUGUEL,2.0,PAGAMENTO DE DIVIDAS,119000.0,15.95,0,S,3
26,833000.0,HIPOTECA,3.0,INVESTIMENTO,12376.0,8.9,1,N,4
25,833000.0,HIPOTECA,10.0,REFORMA,38080.0,7.9,1,N,2
22,833000.0,HIPOTECA,6.0,EDUCAÇÃO,85680.0,,1,N,2
23,833000.0,HIPOTECA,8.0,PESSOAL,99960.0,11.99,1,N,3
23,71400.0,PRÓPRIO,4.0,PAGAMENTO DE DIVIDAS,19040.0,13.98,0,N,4
23,71400.0,PRÓPRIO,4.0,INVESTIMENTO,21896.0,10.99,0,N,2
22,418880.0,ALUGUEL,6.0,PAGAMENTO DE DIVIDAS,119000.0,15.58,0,S,2
25,356048.0,ALUGUEL,2.0,MÉDICO,119000.0,10.99,0,N,2
25,418880.0,ALUGUEL,0.0,INVESTIMENTO,119000.0,14.96,0,N,4
25,71400.0,PRÓPRIO,2.0,REFORMA,8330.0,15.31,1,S,4
26,418880.0,ALUGUEL,2.0,INVESTIMENTO,119000.0,15.65,0,N,3
25,476000.0,ALUGUEL,1.0,INVESTIMENTO,119000.0,9.33,1,N,4
23,71400.0,HIPOTECA,0.0,PESSOAL,17136.0,13.47,0,N,4
24,487424.0,ALUGUEL,8.0,PESSOAL,119000.0,10.36,1,N,3
24,437920.0,ALUGUEL,1.0,REFORMA,119000.0,16.77,0,S,4
23,442680.0,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,119000.0,14.59,0,S,2
22,833000.0,ALUGUEL,6.0,INVESTIMENTO,16660.0,11.91,1,S,2
23,833000.0,HIPOTECA,3.0,EDUCAÇÃO,34272.0,8.38,1,N,3
25,831610.08,ALUGUEL,9.0,INVESTIMENTO,42840.0,10.59,1,N,3
25,828240.0,HIPOTECA,2.0,PAGAMENTO DE DIVIDAS,41888.0,14.27,1,N,3
26,828240.0,ALUGUEL,8.0,PAGAMENTO DE DIVIDAS,57120.0,12.53,1,N,4
25,771120.0,HIPOTECA,5.0,PAGAMENTO DE DIVIDAS,119000.0,16.0,0,S,3
26,825702.9199999999,HIPOTECA,10.0,INVESTIMENTO,47600.0,11.71,1,N,4
21,71400.0,PRÓPRIO,0.0,REFORMA,15113.0,11.54,0,S,3
25,456960.0,ALUGUEL,2.0,REFORMA,119000.0,15.68,0,S,4
21,71971.2,HIPOTECA,0.0,EDUCAÇÃO,7140.0,10.59,1,N,2
24,466042.08,ALUGUEL,8.0,REFORMA,119000.0,12.61,0,S,2
26,523600.0,ALUGUEL,3.0,PESSOAL,119000.0,,1,S,2
23,72371.04,HIPOTECA,7.0,PESSOAL,13328.0,8.49,0,N,3
25,759696.0,ALUGUEL,0.0,PESSOAL,142800.0,17.27,0,S,4
24,816340.0,ALUGUEL,6.0,PAGAMENTO DE DIVIDAS,85680.0,8.9,1,N,4
25,809219.0399999999,HIPOTECA,3.0,MÉDICO,47600.0,11.11,1,N,4
24,752099.0399999999,ALUGUEL,0.0,REFORMA,119000.0,14.59,0,S,2
